YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,SERVICE_CLASS,REV_PAX_ENP_110,REV_PAX_MILES_140,REV_PAX_MILES_COACH,REV_PAX_MILES_FIRST,NON_REV_PAX_MILES,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_PAX_241,REV_TON_MILES_USPR_MAIL,REV_TON_MILES_USNONPR_MAIL,REV_TON_MILES_MAIL_249,REV_TON_MILES_FOREIGN_MAIL,REV_TON_MILES_EXPRESS_MAIL,NON_REV_TON_MILES,AVL_TON_MILES_280,AVL_SEAT_MILES_320,AVL_SEAT_MILES_FIRST,AVL_SEAT_MILES_COACH,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_MILES_SCH_430,REV_ACRFT_MILES_SCH_COMPLETED,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,ACRFT_HRS_RAMPTORAMP_630
2022,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,F,8831404.00,7419966756.00,0.00,7419966756.00,,750463449.00,8116160.00,741996676.00,,,350613.00,,,,1334279797.00,10898342038.00,10898342038.00,0.00,69520522.00,74282384.00,,91102.00,160370.00,188789.00
2022,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,K,8831404.00,7419966756.00,0.00,7419966756.00,,750463449.00,8116160.00,741996676.00,,,350613.00,,,,1334279797.00,10898342038.00,10898342038.00,0.00,69520522.00,74282384.00,,91102.00,160370.00,188789.00
2022,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,L,1095.00,626328.00,0.00,626328.00,,62746.00,0.00,62633.00,,,113.00,,,,109404.00,896832.00,896832.00,0.00,5888.00,0.00,,8.00,13.00,15.00
2022,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,V,2435.00,2324168.00,0.00,2324168.00,,232530.00,0.00,232417.00,,,113.00,,,,438847.00,3572383.00,3572383.00,0.00,22161.00,0.00,,21.00,50.00,56.00
2022,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,Z,8833839.00,7422290924.00,0.00,7422290924.00,,750695979.00,8116160.00,742229092.00,,,350726.00,,,,1334718644.00,10901914421.00,10901914421.00,0.00,69542683.00,74282384.00,,91123.00,160419.00,188845.00
2022,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,F,240534.00,269254928.00,0.00,269254928.00,,26932909.00,7416.00,26925493.00,,,0.00,,,,48002828.00,395474518.00,395474518.00,0.00,2698378.00,2701078.00,,2433.00,6064.00,6968.00
2022,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,K,240534.00,269254928.00,0.00,269254928.00,,26932909.00,7416.00,26925493.00,,,0.00,,,,48002828.00,395474518.00,395474518.00,0.00,2698378.00,2701078.00,,2433.00,6064.00,6968.00
2022,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,Z,240534.00,269254928.00,0.00,269254928.00,,26932909.00,7416.00,26925493.00,,,0.00,,,,48002828.00,395474518.00,395474518.00,0.00,2698378.00,2701078.00,,2433.00,6064.00,6968.00
2022,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,F,416230.00,182253623.00,0.00,182253623.00,,18304851.00,60650.00,18225362.00,,,18838.00,,,,32550680.00,263081524.00,263081524.00,0.00,3461599.00,3666477.00,,8109.00,9856.00,12608.00
2022,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,K,416230.00,182253623.00,0.00,182253623.00,,18304851.00,60650.00,18225362.00,,,18838.00,,,,32550680.00,263081524.00,263081524.00,0.00,3461599.00,3666477.00,,8109.00,9856.00,12608.00
2022,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,Z,416230.00,182253623.00,0.00,182253623.00,,18304851.00,60650.00,18225362.00,,,18838.00,,,,32550680.00,263081524.00,263081524.00,0.00,3461599.00,3666477.00,,8109.00,9856.00,12608.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,F,622946.00,911980553.00,0.00,911980553.00,,104605522.00,13247966.00,91198055.00,,,159501.00,,,,220750016.00,1318511816.00,1318511816.00,0.00,5802024.00,5963846.00,,5657.00,12413.00,14288.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,K,622946.00,911980553.00,0.00,911980553.00,,104605522.00,13247966.00,91198055.00,,,159501.00,,,,220750016.00,1318511816.00,1318511816.00,0.00,5802024.00,5963846.00,,5657.00,12413.00,14288.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,L,410.00,676100.00,0.00,676100.00,,121207.00,28.00,67610.00,,,53570.00,,,,683912.00,1374988.00,1374988.00,0.00,12846.00,0.00,,82.00,42.00,71.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,V,915.00,1970631.00,0.00,1970631.00,,270755.00,20122.00,197063.00,,,53570.00,,,,1093147.00,3512808.00,3512808.00,0.00,20536.00,0.00,,85.00,57.00,87.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,Z,623861.00,913951184.00,0.00,913951184.00,,104876277.00,13268088.00,91395118.00,,,213071.00,,,,221843163.00,1322024624.00,1322024624.00,0.00,5822560.00,5963846.00,,5742.00,12470.00,14375.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,F,10505.00,46043552.00,0.00,46043552.00,,9790592.00,5180113.00,4604355.00,,,6123.00,,,,28006193.00,141227614.00,141227614.00,0.00,526321.00,530140.00,,121.00,1044.00,1098.00
2022,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,K,10505.00,46043552.00,0.00,46043552.00,,9790592.00,5180113.00,4604355.00,,,6123.00,,,,28006193.00,141227614.00,141227614.00,0.00,526321.00,530140.00,,121.00,1044.00,1098.00
