YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,SERVICE_CLASS,REV_PAX_ENP_110,REV_PAX_MILES_140,REV_PAX_MILES_COACH,REV_PAX_MILES_FIRST,NON_REV_PAX_MILES,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_PAX_241,REV_TON_MILES_USPR_MAIL,REV_TON_MILES_USNONPR_MAIL,REV_TON_MILES_MAIL_249,REV_TON_MILES_FOREIGN_MAIL,REV_TON_MILES_EXPRESS_MAIL,NON_REV_TON_MILES,AVL_TON_MILES_280,AVL_SEAT_MILES_320,AVL_SEAT_MILES_FIRST,AVL_SEAT_MILES_COACH,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_MILES_SCH_430,REV_ACRFT_MILES_SCH_COMPLETED,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,ACRFT_HRS_RAMPTORAMP_630
2024,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,F,12151054.00,9789143030.00,0.00,9789143030.00,,987729709.00,8815406.00,978914303.00,,,0.00,,,,1623539196.00,13222813001.00,13222813001.00,0.00,82369351.00,84950333.00,,112060.00,193133.00,231311.00
2024,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,K,12151054.00,9789143030.00,0.00,9789143030.00,,987729709.00,8815406.00,978914303.00,,,0.00,,,,1623539196.00,13222813001.00,13222813001.00,0.00,82369351.00,84950333.00,,112060.00,193133.00,231311.00
2024,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,L,1928.00,3065727.00,0.00,3065727.00,,306573.00,0.00,306573.00,,,0.00,,,,401583.00,3264618.00,3264618.00,0.00,20022.00,0.00,,18.00,46.00,56.00
2024,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,V,1928.00,3338544.00,0.00,3338544.00,,333854.00,0.00,333854.00,,,0.00,,,,492385.00,4004684.00,4004684.00,0.00,24660.00,0.00,,22.00,57.00,67.00
2024,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,Z,12152982.00,9792481574.00,0.00,9792481574.00,,988063564.00,8815406.00,979248157.00,,,0.00,,,,1624031581.00,13226817685.00,13226817685.00,0.00,82394011.00,84950333.00,,112082.00,193190.00,231378.00
2024,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,F,351548.00,373594034.00,0.00,373594034.00,,37395307.00,35904.00,37359403.00,,,0.00,,,,53072743.00,433415508.00,433415508.00,0.00,2760588.00,2759910.00,,2673.00,6298.00,7363.00
2024,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,K,351548.00,373594034.00,0.00,373594034.00,,37395307.00,35904.00,37359403.00,,,0.00,,,,53072743.00,433415508.00,433415508.00,0.00,2760588.00,2759910.00,,2673.00,6298.00,7363.00
2024,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,Z,351548.00,373594034.00,0.00,373594034.00,,37395307.00,35904.00,37359403.00,,,0.00,,,,53072743.00,433415508.00,433415508.00,0.00,2760588.00,2759910.00,,2673.00,6298.00,7363.00
2024,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,F,359317.00,185933185.00,0.00,185933185.00,,18660415.00,61330.00,18593319.00,,,5766.00,,,,29423979.00,227869964.00,227869964.00,0.00,2998289.00,2992604.00,,5951.00,7836.00,10028.00
2024,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,K,359317.00,185933185.00,0.00,185933185.00,,18660415.00,61330.00,18593319.00,,,5766.00,,,,29423979.00,227869964.00,227869964.00,0.00,2998289.00,2992604.00,,5951.00,7836.00,10028.00
2024,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,L,466.00,291716.00,0.00,291716.00,,29172.00,0.00,29172.00,,,0.00,,,,49204.00,380608.00,380608.00,0.00,5008.00,0.00,,8.00,12.00,15.00
2024,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,V,466.00,291716.00,0.00,291716.00,,29172.00,0.00,29172.00,,,0.00,,,,49204.00,380608.00,380608.00,0.00,5008.00,0.00,,8.00,12.00,15.00
2024,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,Z,359783.00,186224901.00,0.00,186224901.00,,18689586.00,61330.00,18622490.00,,,5766.00,,,,29473182.00,228250572.00,228250572.00,0.00,3003297.00,2992604.00,,5959.00,7848.00,10043.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,F,795996.00,1044886372.00,0.00,1044886372.00,,116154511.00,11633990.00,104488637.00,,,31884.00,,,,211480439.00,1249219941.00,1249219941.00,0.00,5495040.00,5665759.00,,6464.00,12019.00,14369.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,K,795996.00,1044886372.00,0.00,1044886372.00,,116154511.00,11633990.00,104488637.00,,,31884.00,,,,211480439.00,1249219941.00,1249219941.00,0.00,5495040.00,5665759.00,,6464.00,12019.00,14369.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,P,0.00,0.00,0.00,0.00,,3564928.00,3564928.00,0.00,,,0.00,,,,7408070.00,0.00,0.00,0.00,108147.00,0.00,,59.00,229.00,253.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,V,0.00,0.00,0.00,0.00,,3564928.00,3564928.00,0.00,,,0.00,,,,7408070.00,0.00,0.00,0.00,108147.00,0.00,,59.00,229.00,253.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,Z,795996.00,1044886372.00,0.00,1044886372.00,,119719439.00,15198918.00,104488637.00,,,31884.00,,,,218888509.00,1249219941.00,1249219941.00,0.00,5603187.00,5665759.00,,6523.00,12248.00,14622.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,F,80333.00,330620468.00,0.00,330620468.00,,40198164.00,7120061.00,33062047.00,,,16056.00,,,,92704615.00,485482301.00,485482301.00,0.00,1754767.00,1767288.00,,430.00,3475.00,3683.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,K,80333.00,330620468.00,0.00,330620468.00,,40198164.00,7120061.00,33062047.00,,,16056.00,,,,92704615.00,485482301.00,485482301.00,0.00,1754767.00,1767288.00,,430.00,3475.00,3683.00
2024,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,Z,80333.00,330620468.00,0.00,330620468.00,,40198164.00,7120061.00,33062047.00,,,16056.00,,,,92704615.00,485482301.00,485482301.00,0.00,1754767.00,1767288.00,,430.00,3475.00,3683.00
2024,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,F,9975077.00,10284711384.00,0.00,10284711384.00,,1051424646.00,19952140.00,1028471138.00,,,3001367.00,,,,1763108484.00,12434115569.00,12434115569.00,0.00,71787597.00,72070298.00,,74681.00,162474.00,196831.00
2024,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,K,9975077.00,10284711384.00,0.00,10284711384.00,,1051424646.00,19952140.00,1028471138.00,,,3001367.00,,,,1763108484.00,12434115569.00,12434115569.00,0.00,71787597.00,72070298.00,,74681.00,162474.00,196831.00
2024,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,L,24399.00,20576425.00,0.00,20576425.00,,2097714.00,38764.00,2057643.00,,,1308.00,,,,12523983.00,42582019.00,42582019.00,0.00,476931.00,0.00,,673.00,1113.00,1388.00
2024,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,V,24399.00,20576425.00,0.00,20576425.00,,2097714.00,38764.00,2057643.00,,,1308.00,,,,12523983.00,42582019.00,42582019.00,0.00,476931.00,0.00,,673.00,1113.00,1388.00
